#Protein	Description	MiBIG Cluster	MiBIG Product	Percent ID	Percent Coverage	BLAST Score	 Evalue
ABL74945.1	TlmIV	BGC0001048_c1	Tallysomycin_biosynthetic_gene_cluster	28	96.4803312629	180	5e-45
CBJ79915.1	putative_Phenylalanine_racemase_(ATP-hydrolyzing)	BGC0001133_c1	Taxlllaid_biosynthetic_gene_cluster	29	100.621118012	175	2.1e-43
CAJ34381.1	NRPS_protein	BGC0000445_c1	Thiocoraline_biosynthetic_gene_cluster	29	91.0973084886	171	1.8e-42
ABS74207.1	FenC	BGC0001095_c1	Fengycin_biosynthetic_gene_cluster	27	94.4099378882	170	3.9e-42
ABS74209.1	FenA	BGC0001095_c1	Fengycin_biosynthetic_gene_cluster	28	94.4099378882	169	1.1e-41
CAD17793.1	probable_non_ribosomal_peptide_synthetase_protein	BGC0001363_c1	Ralsolamycin_biosynthetic_gene_cluster	29	91.5113871636	168	2e-41
KPN93065.1	NunD	BGC0001416_c1	Nunapeptin_/_nunamycin_biosynthetic_gene_cluster	30	92.7536231884	167	3.3e-41
ABS74180.1	BmyB	BGC0001090_c1	Bacillomycin_biosynthetic_gene_cluster	27	91.718426501	166	5.7e-41
AEH59100.1	amino_acid_adenylation_domain-containing_protein/NRPS	BGC0000385_c1	Lysobactin_biosynthetic_gene_cluster	28	92.5465838509	166	7.4e-41
CAC17499.1	putative_non-ribosomal_peptide_synthase	BGC0000324_c1	Coelibactin_biosynthetic_gene_cluster	30	95.8592132505	166	7.4e-41
BAB69699.1	iturin_A_synthetase_B	BGC0001098_c1	Iturin_biosynthetic_gene_cluster	27	91.718426501	166	7.4e-41
ABS74206.1	FenD	BGC0001095_c1	Fengycin_biosynthetic_gene_cluster	27	93.3747412008	165	2.2e-40
AAY91420.2	non-ribosomal_peptide_synthetase_OfaB	BGC0000399_c1	Orfamide_biosynthetic_gene_cluster	29	92.9606625259	165	2.2e-40
AIW82282.1	PuwE	BGC0001125_c1	Puwainaphycins_biosynthetic_gene_cluster	28	99.7929606625	162	1.4e-39
AAG02359.1	peptide_synthetase_NRPS5-4-3	BGC0000963_c1	Bleomycin_biosynthetic_gene_cluster	29	101.035196687	161	1.8e-39
CUI25728.1	Nonribosomal_peptide_synthase	BGC0001355_c1	U-68204_biosynthetic_gene_cluster	27	91.718426501	160	4.1e-39
ACA09733.2	fusaricidin_synthetase	BGC0000358_c1	Fusaricidin_biosynthetic_gene_cluster	27	96.2732919255	160	4.1e-39
CAN89656.1	putative_non-ribosomal_peptide_synthetase	BGC0001070_c1	Kirromycin_biosynthetic_gene_cluster	27	93.9958592133	160	5.3e-39
AFK57212.1	DidA	BGC0000985_c1	Didemnin_biosynthetic_gene_cluster	28	95.0310559006	160	7e-39
AAU39361.1	lichenysin_synthase_LchAC	BGC0000381_c1	Lichenysin_biosynthetic_gene_cluster	26	92.132505176	160	7e-39
AAF17280.1	NosC	BGC0001028_c1	Nostopeptolide_biosynthetic_gene_cluster	27	94.6169772257	159	9.1e-39
sln7	nonribosomal_peptide_synthetase	BGC0001230_c1	Salinamides_biosynthetic_gene_cluster	29	94.2028985507	158	1.6e-38
BAI23334.1	putative_non-ribosomal_peptide_synthetase	BGC0000949_c1	A-500359s_biosynthetic_gene_cluster	29	98.7577639752	157	3.5e-38
CAD70195.1	non-ribosomal_peptide_synthetase	BGC0001047_c1	Syringolin_A_biosynthetic_gene_cluster	27	93.5817805383	156	5.9e-38
AAT09804.1	NocA	BGC0000395_c1	Nocardicin_A_biosynthetic_gene_cluster	28	90.2691511387	156	5.9e-38
AKP45399.1	CysK	BGC0001413_c1	Cystobactamide_biosynthetic_gene_cluster	26	93.5817805383	156	5.9e-38
ABQ96384.2	fusaricidin_synthetase	BGC0001152_c1	Fusaricidin_biosynthetic_gene_cluster	27	97.1014492754	156	1e-37
AAL33758.1	putative_non-ribosomal_peptide_synthetase	BGC0000421_c1	Safracin_biosynthetic_gene_cluster	29	92.7536231884	155	1.3e-37
AAZ55899.1	amino_acid_adenylation	BGC0000359_c1	Fuscachelin_biosynthetic_gene_cluster	28	98.1366459627	155	1.7e-37
